Agency Name,Profile URL,Website URL,Description,City,State,Employee Count,Min Project Size,Average Rating,Review Count,Industry Focus,Clients List,Common Project Size,Client Size Distribution
Business Local Listings,https://themanifest.com/company/business-local-listings,http://www.businesslocallistings.com/,"Business Local Listings is a Tampa, Florida-based SEO company. The small team offers search engine optimization, pay per click, advertising, social media marketing, and more and was launched in 2009.","Tampa, FL",FL,'10 - 49,"$5,000+",,,"Advertising & marketing 10%
Business services 10%
Consumer products & services 10%
Energy & natural resources 10%
Financial services 10%
Information technology 10%
Media 10%
Medical 10%
Non-profit 10%
Retail 10%",,,
Socius Marketing,https://themanifest.com/company/socius-marketing,https://www.sociusmarketing.com/,"Socius Marketing is a SEO services firm. They are in Tampa, Florida and have a midsize team. The agency provides search engine optimization, advertising, pay per click, social media marketing, and more.","Tampa, FL",FL,'50 - 249,"$5,000+",,,"Advertising & marketing 10%
Business services 10%
Consumer products & services 10%
Education 10%
Financial services 10%
Information technology 10%
Legal 10%
Manufacturing 10%
Medical 10%
Non-profit 10%",,,
Stevenson Advertising,https://themanifest.com/company/stevenson-advertising,http://www.stevensonadvertising.com/,"Advertising company Stevenson Advertising is headquartered in Lynnwood, Washington. The small company was established in 1990. Their team offers advertising, graphic design, media planning & buying, social media marketing, and more.","Lynnwood, WA",WA,'10 - 49,"$10,000+",,,,,,
Mad 4 Marketing,https://themanifest.com/company/mad-4-marketing,https://www.mad4marketing.com/,"Mad 4 Marketing is a direct marketing company founded in 1992. The agency offers direct marketing, public relations, advertising, branding, and more and has a small team.","Fort Lauderdale, FL",FL,'10 - 49,"$5,000+",,,,,,
Clever Maniacs,https://themanifest.com/company/clever-maniacs,http://www.clevermaniacs.com/,"Clever Maniacs, a small advertising company, is based in West Palm Beach, Florida. They focus on advertising, search engine optimization, social media marketing, branding, and more and were founded in 2011.","West Palm Beach, FL",FL,'2 - 9,"$5,000+",,,,,,
OnWired,https://themanifest.com/company/onwired,https://onwired.com/,"OnWired is a SEO company. They specialize in search engine optimization, web design, advertising, ux/ui design, and more and were launched in 2001. The agency is located in Raleigh, North Carolina.","Raleigh, NC",NC,'10 - 49,"$5,000+",,,,,,
TriMark Digital,https://themanifest.com/company/trimark-digital,https://www.trimarkdigital.com/,"TriMark Digital is a small SEO agency. They specialize in search engine optimization, web design, advertising, ux/ui design, and more and were established in 2006. The firm is located in Raleigh, North Carolina.","Raleigh, NC",NC,'10 - 49,"$5,000+",,,,,,
Winston Media Group,https://themanifest.com/company/winston-media-group,http://wmgdigital.com/,"Winston Media Group is a small SEO services firm. Headquartered in Atlanta, Georgia, the company was founded in 2011. Their services include search engine optimization, social media marketing, advertising, email marketing, and more.","Atlanta, GA",GA,'2 - 9,"$5,000+",,,,,,
USTAS Technologies Inc,https://themanifest.com/company/ustas-technologies,http://www.ustas.us/,"USTAS Technologies Inc is a SEO company founded in 2004. They are located in Rockville, Maryland and have a small team. Their services include search engine optimization, web design, advertising, ux/ui design, and more.","Rockville, MD",MD,'10 - 49,"$5,000+",,,,,,
"Deviate Labs, LLC",https://themanifest.com/company/deviate-labs,https://deviatelabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Headquartered in West Hollywood, California and Seattle, Washington, Deviate Labs, LLC is an Advertising company. Established in 2014, the small team specializes in Advertising, Marketing Strategy, Pay Per Click, Email Marketing, and more.","West Hollywood, CA",CA,'2 - 9,"$5,000+",5,4,"Arts, entertainment & music 10%
Business services 10%
Consumer products & services 10%
Financial services 10%
Gaming 10%
Hospitality & leisure 10%
Information technology 10%
Manufacturing 10%
Medical 10%
eCommerce 10%",,"$10K-$49K 2 projects
$50K-$199K 1 project
$200K-$999K 1 project","Small Business (<$10M) 50%
Midmarket ($10M - $1B) 40%
Enterprise (>$1B) 10%"
Firebrand Media LLC,https://themanifest.com/company/firebrand-media,http://www.firebrandmediainc.com/,"In Laguna Beach, California, Firebrand Media LLC is a branding firm. The small agency was established in 2003. Their team provides branding, content marketing, digital strategy, and marketing strategy.","Laguna Beach, CA",CA,'10 - 49,"$5,000+",,,,,,
Arrow Promotional,https://themanifest.com/company/arrow-promotional,https://arrowpromotional.com/,"Arrow Promotional is a New York, New York-based advertising company. They provide advertising, branding, content marketing, digital strategy, and more and were founded in 1961.","New York, NY",NY,'10 - 49,"$1,000+",,,,,,
Crowd Siren,https://themanifest.com/company/crowd-siren,http://www.crowdsiren.com/,"Small advertising company Crowd Siren, is headquartered in Las Vegas, Nevada. They specialize in advertising, branding, marketing strategy, public relations, and more and were launched in 2010.","Las Vegas, NV",NV,'2 - 9,"$5,000+",,,,,,
Purple Strategies,https://themanifest.com/company/purple-strategies,https://www.purplestrategies.com/,"Purple Strategies is a PR agency. Their midsize team is headquartered in Alexandria, Virginia and Chicago, Illinois. The firm focuses on public relations, advertising, and market research. The firm was established in 2008.","Alexandria, VA",VA,'50 - 249,"$5,000+",,,,,,
Olive Creative Strategies,https://themanifest.com/company/olive-creative-strategies,https://www.olivecreativestrategies.com/,"Olive Creative Strategies is a public relations and marketing agency based in San Diego. They were founded in 2009, and have 17 employees. Olive Creative Strategies' services includes social media marketing, marketing strategy, PR, advertising, media planning and buying, and content marketing.","San Diego, CA",CA,'10 - 49,"$5,000+",,,,Bigsley,,
MedAccess,https://themanifest.com/company/medaccess,http://medaccessbrands.com/,"MedAccess, a small advertising company, is based in San Diego, California. Their services include advertising, branding, CRM consulting and SI, media planning & buying, and more.","San Diego, CA",CA,'10 - 49,"$5,000+",,,,,,
Younger Associates,https://themanifest.com/company/younger-associates,http://younger-associates.com/,"Younger Associates, an advertising company, is in Jackson, Tennessee. Established in 1990, the small team provides advertising, market research, web development, marketing strategy, and more.","Jackson, TN",TN,'10 - 49,"$5,000+",,,,,,
Proterra Advertising,https://themanifest.com/company/proterra-advertising,http://www.proterraadvertising.com/,"Proterra is a branding and strategic agency headquartered in Addison, Texas with additional offices in Houston and San Antonio. Established in 1993, the firm currently consists of about 30 employees who specialize in web development, SEO, social media marketing, PR, and advertising.","Addison, TX",TX,'10 - 49,"$10,000+",,,,Tidel,,
SpearHall,https://themanifest.com/company/spearhall,http://spearhall.com/,"SpearHall is a small advertising company. Launched in 1980, the company is located in San Diego, California. Their team focuses on advertising, public relations, graphic design, and social media marketing.","San Diego, CA",CA,'2 - 9,"$5,000+",,,,,,
The IPY Agency,https://themanifest.com/company/ipy-agency,http://www.theipyagency.com,"In Atlanta, Georgia, The IPY Agency is a small PR company. Their services include public relations, advertising, and branding.","Atlanta, GA",GA,'2 - 9,"$10,000+",,,,,,
Magnum Integrated Marketing,https://themanifest.com/company/magnum-integrated-marketing,https://www.magnummark.com/,"Advertising company Magnum Integrated Marketing was founded in 2007. Based in Philadelphia, Pennsylvania, their small team provides advertising, branding, marketing strategy, media planning & buying, and more.","Philadelphia, PA",PA,'10 - 49,"$10,000+",,,,,,
Eisenberg And Associates,https://themanifest.com/company/eisenberg-associates,http://www.eisenberginc.com/,"Eisenberg And Associates is an advertising company. They are in Dallas, Texas and have a small team that focuses on advertising, branding, digital strategy, public relations, and more. The firm was established in 1974.","Dallas, TX",TX,'10 - 49,"$10,000+",,,,,,
Jibe Media,https://themanifest.com/company/jibe-media,http://www.jibemedia.com/,"Jibe Media is an advertising company. Their small team is based in Salt Lake City, Utah. Their services include advertising, branding, graphic design, social media marketing, and more. The firm was established in 2001.","Salt Lake City, UT",UT,'10 - 49,"$5,000+",,,,,,
Richter7,https://themanifest.com/company/richter7,http://www.richter7.com/,"Richter7 is a branding firm headquartered in Salt Lake City, Utah. They offer branding, digital strategy, media planning & buying, public relations, and more and were established in 1971.","Salt Lake City, UT",UT,'10 - 49,"$1,000+",,,,,,
Bond,https://themanifest.com/company/bond,http://www.bondcreativegroup.com/,"Bond is an advertising and branding company. Their small team is based in Athens, Georgia and Athens, Georgia. Their team focuses on advertising and branding.","Athens, GA",GA,'2 - 9,"$10,000+",,,,,,
Arc Worldwide,https://themanifest.com/company/arc-worldwide,http://arcww.com/,"Arc Worldwide is an advertising company. Their midsize team is based in Chicago, Illinois and provides advertising, branding, packaging design, and web development. The company was founded in 2004.","Chicago, IL",IL,'250 - 999,"$5,000+",,,,,,
ASENZ Marketing,https://themanifest.com/company/asenz-marketing,http://www.asenz.com/index,"ASENZ Marketing, an email marketing company, is in San Antonio, Texas. The small team specializes in email marketing, pay per click, search engine optimization, social media marketing, and more and was founded in 1995.","San Antonio, TX",TX,'2 - 9,"$5,000+",,,,,,
The Syndicate,https://themanifest.com/company/syndicate,http://thesyn.com,"The Syndicate is a branding firm and graphic design company. They specialize in branding and graphic design and were launched in 1998. The agency is headquartered in Weehawken, New Jersey.","Weehawken, NJ",NJ,'50 - 249,"$5,000+",,,,,,
ImagiBrand,https://themanifest.com/company/imagibrand,http://imagibrand.com/,"Advertising company ImagiBrand was launched in 2011. Their small team is in Edmonds, Washington and focuses on advertising, social media marketing, and content marketing.","Edmonds, WA",WA,'2 - 9,"$5,000+",,,,,,
"IMG LIVE, LLC",https://themanifest.com/company/img-live,http://imglive.com/,"IMG LIVE, LLC is a marketing strategy company launched in 2000. Their midsize team is located in Norcross, Georgia. The agency offers marketing strategy, branding, and graphic design.","Norcross, GA",GA,'50 - 249,"$5,000+",,,,,,
FPO Marketing & Advertising,https://themanifest.com/company/fpo-marketing-advertising,http://fpomarketing.com/,Advertising and marketing strategy company FPO Marketing & Advertising was established in 2003. The firm specializes in advertising and marketing strategy and has a small team.,"San Antonio, TX",TX,'10 - 49,"$5,000+",,,,,,
Boss Creative Agency,https://themanifest.com/company/boss-creative-agency,https://bosscreative.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Boss Creative Agency is a small San Antonio, Texas-based branding firm. They focus on branding, advertising, marketing strategy, and social media marketing and were established in 2005.","San Antonio, TX",TX,'10 - 49,"$10,000+",,,"Other industries 70%
Automotive 15%
Consumer products & services 15%",,,"Small Business (<$10M) 50%
Midmarket ($10M - $1B) 40%
Enterprise (>$1B) 10%"
Digital Wheelhouse,https://themanifest.com/company/digital-wheelhouse,https://www.digitalwheelhouse.com/,"Advertising company Digital Wheelhouse is headquartered in San Antonio, Texas. The small team offers advertising, branding, content marketing, and pay per click and was founded in 2014.","San Antonio, TX",TX,'2 - 9,"$5,000+",,,,,,
Annex Experience,https://themanifest.com/company/annex-experience,http://annexexp.com/,"Annex Experience, an advertising company, is in Chicago, Illinois. The small team provides advertising, branding, marketing strategy, content marketing, and more. The firm was founded in 1998.","Chicago, IL",IL,'10 - 49,Undisclosed,,,,,,
Allied Experiential,https://themanifest.com/company/allied-experiential,http://www.alliedexperiential.com/,"Located in New York, New York and Los Angeles, California, Allied Experiential is an advertising company. Founded in 1999, the small team provides advertising, social media marketing, marketing strategy, and public relations.","New York, NY",NY,'10 - 49,Undisclosed,,,,,,
BMF Media,https://themanifest.com/company/bmf-media,http://www.bmfmedia.com/,"Founded in 2003, BMF Media is an advertising company. Their midsize team is based in New York, New York. Their services include advertising, branding, marketing strategy, public relations, and more.","New York, NY",NY,'50 - 249,Undisclosed,,,,,,
Volition,https://themanifest.com/company/volition,https://www.volitionagency.com/,"Launched in 2017, Volition is an event marketing & planning company. The small team focuses on event marketing & planning, advertising, and marketing strategy. The firm is located in Redwood City, California.","Redwood City, CA",CA,'10 - 49,Undisclosed,,,,,,
Engine Shop,https://themanifest.com/company/engine-shop,http://www.engineshopagency.com/,"Headquartered in New York, New York, Engine Shop is a marketing strategy company. The midsize team specializes in marketing strategy, social media marketing, advertising, and branding and was founded in 2012.","New York, NY",NY,'50 - 249,Undisclosed,,,,,,
EWI Worldwide,https://themanifest.com/company/ewi-worldwide,http://www.ewiworldwide.com/,"Based in Farmington Hills, Michigan, EWI Worldwide is a marketing strategy company. Established in 1979, the midsize team provides marketing strategy, advertising, and branding.","Farmington Hills, MI",MI,'50 - 249,Undisclosed,,,,,,
G7 Entertainment,https://themanifest.com/company/g7-entertainment,http://www.g7marketing.com/,"G7 Entertainment is an advertising and marketing strategy company. They focus on advertising and marketing strategy and were founded in 2010. The company is in Nashville, Tennessee.","Nashville, TN",TN,'10 - 49,Undisclosed,,,,,,
Kenwood Experiences,https://themanifest.com/company/kenwood-experiences,http://kenwoodx.com/,"Kenwood Experiences is an advertising company launched in 1979. They are headquartered in San Francisco, California and have a small team. The company specializes in advertising, branding, event marketing & planning, mobile & app marketing, and more.","San Francisco, CA",CA,'10 - 49,Undisclosed,,,,,,
"Interlex Communications, Inc",https://themanifest.com/company/interlex-communications,http://interlexusa.com/,"Interlex Communications, Inc is a small media planning and buying company and social media marketing firm. Located in San Antonio, Texas, the agency was established in 1995. Their services include media planning & buying and social media marketing.","San Antonio, TX",TX,'10 - 49,"$5,000+",,,,,,
Amusement Park,https://themanifest.com/company/amusement-park,http://www.amusementparkinc.com/,"Amusement Park is an advertising company. They are located in Santa Ana, California and have a midsize team. Their team focuses on advertising, branding, digital strategy, market research, and more.","Santa Ana, CA",CA,'50 - 249,"$5,000+",,,,,,
Circ Design,https://themanifest.com/company/circ-design,http://www.circ.biz/,"Circ Design, an advertising company, was established in 1995. They are headquartered in Jackson, Wyoming and have a small team. Their services include advertising, branding, mobile app development, social media marketing, and more.","Jackson, WY",WY,'10 - 49,Undisclosed,,,,,,
Gertrude Inc.,https://themanifest.com/company/gertrude,https://gertrude.agency/,"Gertrude Inc. Is an advertising and branding company. They specialize in advertising and branding and were launched in 2005. The company is headquartered in Chicago, Illinois.","Chicago, IL",IL,'50 - 249,Undisclosed,,,,,,
Mac Creative Agency,https://themanifest.com/company/mac-creative-agency,http://maccreativeagency.com/,"Mac Creative Agency is an advertising company. They are based in Chicago, Illinois and have a small team. Their team specializes in advertising, branding, marketing strategy, social media marketing, and more.","Chicago, IL",IL,'2 - 9,Undisclosed,,,,,,
Aaaza,https://themanifest.com/company/aaaza,http://www.aaaza.com/,"Aaaza, an advertising company, was launched in 1997. The small Los Angeles, California-based team offers advertising, event marketing & planning, and public relations.","Los Angeles, CA",CA,'10 - 49,Undisclosed,,,,,,
Renaissance,https://themanifest.com/company/renaissance,https://www.rencomgroup.com/,"Renaissance is an advertising company. Their midsize team is headquartered in Philadelphia, Pennsylvania. Their services include advertising, e-commerce development, affiliate marketing, pay per click, and more. The firm was launched in 2010.","Philadelphia, PA",PA,'250 - 999,Undisclosed,,,,,,
SnyderCreative,https://themanifest.com/company/snydercreative,http://www.snydercreative.net/default_2.aspx,"SnyderCreative is a Philadelphia, Pennsylvania-based advertising company. The company offers advertising, content marketing, and marketing strategy and is small.The company was launched in 1990.","Philadelphia, PA",PA,'2 - 9,Undisclosed,,,,,,
AWE Collective,https://themanifest.com/company/awe-collective,http://www.awecollective.com/,"AWE Collective is an advertising company. Their small team is based in Tempe, Arizona and focuses on advertising, branding, digital strategy, content marketing, and more. The company was launched in 2011.","Tempe, AZ",AZ,'10 - 49,Undisclosed,,,,,,
New York Marketing Group,https://themanifest.com/company/new-york-marketing-group,http://nymarketinggroupinc.com/,"New York Marketing Group is a marketing strategy company. They are based in Williamsville, New York and have a small team. Their team specializes in marketing strategy, advertising, and branding.","Williamsville, NY",NY,'10 - 49,Undisclosed,,,,,,
Ashland Advertising,https://themanifest.com/company/ashland-advertising,https://www.ashlandadvertising.com/,"Ashland Advertising, an advertising company, was founded in 2008. In Charlotte, North Carolina, their small team offers advertising, digital strategy, marketing strategy, branding, and more.","Charlotte, NC",NC,'2 - 9,Undisclosed,,,,,,
Greenspon Advertising,https://themanifest.com/company/greenspon-advertising,http://greensponadvertising.com/,"Greenspon Advertising is a small advertising company. The Charlotte, North Carolina-based firm was launched in 2004. Their services include advertising, branding, marketing strategy, digital strategy, and more.","Charlotte, NC",NC,'2 - 9,Undisclosed,,,,,,
blr | further,https://themanifest.com/company/blr-further,http://www.blrfurther.com/,"Launched in 1986, blr | further is an advertising company. The company specializes in advertising, branding, public relations, digital strategy, and more and has a small team. The company is located in Birmingham, Alabama.","Birmingham, AL",AL,'10 - 49,Undisclosed,,,,,,
Burton Advertising,https://themanifest.com/company/burton-advertising,https://www.burtonadvertising.com/,"Small advertising company Burton Advertising, is based in Birmingham, Alabama. The team specializes in advertising, media planning & buying, public relations, social media marketing, and more.","Birmingham, AL",AL,'2 - 9,Undisclosed,,,,,,
Cayenne Creative,https://themanifest.com/company/cayenne-creative,http://www.cayennecreative.com/,"Cayenne Creative is a small advertising company. In Birmingham, Alabama, the agency was launched in 2004. Their services include advertising, branding, media planning & buying, public relations, and more.","Birmingham, AL",AL,'10 - 49,Undisclosed,,,,,,
Martin Retail Group,https://themanifest.com/company/martin-retail-group,https://www.martinretail.com/,"Midsize advertising company Martin Retail Group, is in Birmingham, Alabama. The team offers advertising, digital strategy, marketing strategy, media planning & buying, and more.","Birmingham, AL",AL,'50 - 249,Undisclosed,,,,,,
o2ideas,https://themanifest.com/company/o2ideas,http://www.o2ideas.com/,"O2ideas is a small advertising company. Founded in 1967, the team focuses on advertising, branding, digital strategy, graphic design, and more. The firm is located in Birmingham, Alabama.","Birmingham, AL",AL,'10 - 49,Undisclosed,,,,,,
Brothers & Company,https://themanifest.com/company/brothers-company,https://www.broco.com/,"Brothers & Company, an advertising company, was launched in 1974. The agency provides advertising, branding, public relations, digital strategy, and more and has a midsize team.","Tulsa, OK",OK,'50 - 249,Undisclosed,,,,,,
New West Agency,https://themanifest.com/company/new-west-agency,http://www.newwestagency.com/,"In Louisville, Kentucky, New West Agency is a midsize advertising company. They offer advertising, branding, digital strategy, marketing strategy, and more and were launched in 1971.","Louisville, KY",KY,'50 - 249,Undisclosed,,,,,,
Trifecta Communications,https://themanifest.com/company/trifecta-communications,http://www.trifectacomm.net/,"Trifecta Communications is an advertising company founded in 2004. The agency focuses on advertising, branding, marketing strategy, and public relations and has a small team.","Oklahoma City, OK",OK,'10 - 49,Undisclosed,,,,,,
Madison Mott,https://themanifest.com/company/madison-mott,https://www.madisonmott.com/,"Advertising company Madison Mott was launched in 1999. They are located in Enfield, Connecticut and have a small team. Madison Mott provides advertising, branding, marketing strategy, content marketing, and more.","Enfield, CT",CT,'2 - 9,Undisclosed,,,,,,
AbelsonTaylor,https://themanifest.com/company/abelsontaylor,https://www.abelsontaylor.com/,"AbelsonTaylor, an advertising company, was launched in 1981. They are based in Chicago, Illinois and have a midsize team. Their services include advertising, digital strategy, marketing strategy, market research, and more.","Chicago, IL",IL,'250 - 999,Undisclosed,,,,,,
Herb Gillen Advertising,https://themanifest.com/company/herb-gillen-advertising,http://herbgillen.com/,"Herb Gillen Advertising is an advertising company. Established in 2005, the team focuses on advertising, marketing strategy, public relations, graphic design, and more. Their small firm is based in Upper Arlington, Ohio.","Upper Arlington, OH",OH,'2 - 9,Undisclosed,,,,,,
Qorvis Communications,https://themanifest.com/company/qorvis-communications,http://www.qorvis.com/,"Qorvis Communications is a public relations company. They are in Washington, District of Columbia and have a midsize team that offers public relations, advertising, branding, social media marketing, and more. The firm was established in 2000.","Washington, DC",DC,'50 - 249,Undisclosed,,,,,,
McDowell Jewett Communications,https://themanifest.com/company/mcdowell-jewett-communications,https://mcdowelljewett.com/,"McDowell Jewett Communications is a public relations firm launched in 2006. Based in Hartford, Connecticut, their small team focuses on public relations, advertising, digital strategy, and social media marketing.","Hartford, CT",CT,'2 - 9,Undisclosed,,,,,,
CLM Marketing & Advertising,https://themanifest.com/company/clm-marketing-advertising,https://www.clmnorthwest.com/,"CLM Marketing & Advertising is an advertising company in Boise, Idaho. The company focuses on advertising, digital strategy, marketing strategy, public relations, and more and has a small team.The company was established in 1980.","Boise, ID",ID,'10 - 49,Undisclosed,,,,,,
HOOK,https://themanifest.com/company/hook,http://hookworldwide.com/,"Advertising company HOOK is based in Charleston, South Carolina. The midsize company was launched in 2005. Their team specializes in advertising, branding, digital strategy, logo, and more.","Charleston, SC",SC,'50 - 249,Undisclosed,,,,,,
"Post No Bills, Inc.",https://themanifest.com/company/post-no-bills,https://www.postnobills.com/,"Founded in 1987, Post No Bills, Inc. Is an advertising company. The firm specializes in advertising, branding, graphic design, digital strategy, and more and has a midsize team. The firm is headquartered in Charleston, South Carolina.","Charleston, SC",SC,'50 - 249,Undisclosed,,,,,,
Touchpoint Communications,https://themanifest.com/company/touchpoint-communications,http://touchptcom.com/,"Advertising company Touchpoint Communications is in Charleston, South Carolina. Established in 2005, the small team provides advertising, media planning & buying, public relations, social media marketing, and more.","Charleston, SC",SC,'10 - 49,Undisclosed,,,,,,
"Geto & de Milly, Inc.",https://themanifest.com/company/geto-de-milly,http://www.getodemilly.com/,"Geto & de Milly, Inc., a public relations agency, was established in 1980. The small team specializes in public relations, event marketing & planning, social media marketing, and advertising. The firm is located in New York, New York.","New York, NY",NY,'10 - 49,Undisclosed,,,,,,
Anthology Marketing Group,https://themanifest.com/company/anthology-marketing-group,https://www.anthologygroup.com/,"Anthology Marketing Group is an advertising company. Their midsize team is headquartered in Honolulu, Hawaii. The firm focuses on advertising, digital strategy, market research, public relations, and more.","Honolulu, HI",HI,'50 - 249,Undisclosed,,,,,,
MANA MEANS,https://themanifest.com/company/mana-means,http://manameansadvertising.com/,"MANA MEANS is an advertising company. The small Honolulu, Hawaii-based company was established in 1992. Their services include advertising, market research, public relations, direct marketing, and more.","Honolulu, HI",HI,'2 - 9,Undisclosed,,,,,,
MVNP,https://themanifest.com/company/mvnp,https://www.mvnp.com/,"Advertising company MVNP was launched in 1946. They are in Honolulu, Hawaii and have a midsize team. Their services include advertising, branding, market research, web design, and more.","Honolulu, HI",HI,'50 - 249,Undisclosed,,,,,,
Oxbow Creative,https://themanifest.com/company/oxbow-creative,https://www.oxbow.co/,"Advertising company Oxbow Creative is based in Burlington, Vermont. The agency provides advertising, graphic design, market research, branding, and more and is small.The agency was established in 2014.","Burlington, VT",VT,'10 - 49,Undisclosed,,,,,,
A.D. Creative Group,https://themanifest.com/company/ad-creative-group,http://www.adcreativegroup.com/,"Advertising company A.D. Creative Group was launched in 1985. The company focuses on advertising, branding, digital strategy, marketing strategy, and more and has a small team.","Billings, MT",MT,'10 - 49,Undisclosed,,,,,,
Banik Communications,https://themanifest.com/company/banik-communications,https://banik.com/,"Headquartered in Great Falls, Montana, Banik Communications is an advertising company. The small team provides advertising, branding, graphic design, market research, and more and was established in 1979.","Great Falls, MT",MT,'10 - 49,Undisclosed,,,,,,
The Wendt Agency,https://themanifest.com/company/wendt-agency,https://thewendtagency.com/,"Established in 1929, The Wendt Agency is an advertising company. The small Great Falls, Montana-based team provides advertising, branding, public relations, social media marketing, and more.","Great Falls, MT",MT,'10 - 49,Undisclosed,,,,,,
GodwinGroup,https://themanifest.com/company/godwingroup,https://godwin.com/,"GodwinGroup, an advertising company, was founded in 1937. The midsize team specializes in advertising, digital strategy, marketing strategy, graphic design, and more. The firm is headquartered in Jackson, Mississippi.","Jackson, MS",MS,'50 - 249,Undisclosed,,,,,,
"Maris, West & Baker",https://themanifest.com/company/maris-west-baker,https://mwb.com/,"Launched in 1970, Maris, West & Baker is an advertising company. They are in Jackson, Mississippi and have a small team. Their services include advertising, digital strategy, graphic design, marketing strategy, and more.","Jackson, MS",MS,'10 - 49,Undisclosed,,,,,,
Charles Ryan Associates,https://themanifest.com/company/charles-ryan-associates,http://charlesryan.com/default.aspx,"Established in 1974, Charles Ryan Associates is an advertising company. The agency focuses on advertising, branding, video production, media planning & buying, and more and has a small team. The agency is based in Charleston, West Virginia.","Charleston, WV",WV,'10 - 49,Undisclosed,,,,,,
The Manahan Group,https://themanifest.com/company/manahan-group,http://themanahangroup.com/,"Founded in 2003, The Manahan Group is an advertising company. The company specializes in advertising, public relations, social media marketing, branding, and more and has a small team. The company is headquartered in Charleston, West Virginia.","Charleston, WV",WV,'10 - 49,Undisclosed,,,,,,
Sloane & Company,https://themanifest.com/company/sloane-company,https://www.sloanepr.com/,"Sloane & Company is a public relations firm. They are headquartered in New York, New York and have a small team that specializes in public relations, social media marketing, advertising, market research, and more. The agency was founded in 1998.","New York, NY",NY,'10 - 49,Undisclosed,,,,,,
Creative Intelligence Agency,https://themanifest.com/company/creative-intelligence-agency,http://www.ciastudio.com/,"Creative Intelligence Agency, an advertising company, is based in Baltimore, Maryland. The small team focuses on advertising, branding, graphic design, media planning & buying, and more and was founded in 1998.","Baltimore, MD",MD,'2 - 9,Undisclosed,,,,,,
RK Venture,https://themanifest.com/company/rk-venture,https://www.rkventure.com/,"RK Venture is a small Albuquerque, New Mexico-based advertising company. Launched in 2014, the team provides advertising, branding, graphic design, mobile & app marketing, and more.","Albuquerque, NM",NM,'2 - 9,Undisclosed,,,,,,
"Runyon Saltzman, Inc.",https://themanifest.com/company/runyon-saltzman,https://www.rs-e.com/,"Located in Sacramento, California, Runyon Saltzman, Inc. Is an advertising company. The midsize team offers advertising, digital strategy, public relations, video production, and more. The firm was established in 1960.","Sacramento, CA",CA,'50 - 249,Undisclosed,,,,,,
RMD Advertising,https://themanifest.com/company/rmd-advertising,https://www.rmdadvertising.com/,"RMD Advertising is a small advertising company. They focus on advertising, branding, marketing strategy, public relations, and more and were established in 1992.","Columbus, OH",OH,'10 - 49,Undisclosed,,,,,,
Crossroads - Real Communication,https://themanifest.com/company/crossroads-real-communication,http://www.crossroads.us/,"Crossroads - Real Communication is an advertising company headquartered in Kansas City, Missouri. Founded in 2012, the small team provides advertising, branding, marketing strategy, public relations, and more.","Kansas City, MO",MO,'10 - 49,Undisclosed,,,,,,
GRM Works,https://themanifest.com/company/grm-works,http://grmworks.com/,"GRM Works is a small advertising company. In Atlanta, Georgia, the company was established in 2006. Their services include advertising, branding, marketing strategy, market research, and more.","Atlanta, GA",GA,'10 - 49,Undisclosed,,,,,,
"Spawn Ideas, Inc.",https://themanifest.com/company/spawn-ideas,https://spawnideas.com/,"Spawn Ideas, Inc., a midsize advertising company, is in Anchorage, Alaska. The team specializes in advertising, branding, marketing strategy, digital strategy, and more.","Anchorage, AK",AK,'50 - 249,Undisclosed,,,,,,
Walsh Sheppard,https://themanifest.com/company/walsh-sheppard,http://www.walshsheppard.com/,"Advertising company Walsh Sheppard is based in Anchorage, Alaska. Founded in 1985, the small team offers advertising, branding, marketing strategy, video production, and more.","Anchorage, AK",AK,'10 - 49,Undisclosed,,,,,,
MorganMyers,https://themanifest.com/company/morganmyers,http://www.morganmyers.com,"MorganMyers is an advertising company. Launched in 1983, the agency is headquartered in Waukesha, Wisconsin. The midsize team provides advertising, branding, marketing strategy, public relations, and more.","Waukesha, WI",WI,'50 - 249,Undisclosed,,,,,,
Kassing Andrews Advertising,https://themanifest.com/company/kassing-andrews-advertising,https://www.kassingandrews.com/,"Headquartered in Salt Lake City, Utah, Kassing Andrews Advertising is an advertising company. The small firm was launched in 2002. Their team provides advertising, branding, video production, event marketing & planning, and more.","Salt Lake City, UT",UT,'10 - 49,Undisclosed,,,,,,
Love Communications,https://themanifest.com/company/love-communications,https://lovecomm.net/,"Advertising company Love Communications was founded in 1999. They are based in Salt Lake City, Utah and have a midsize team. Love Communications specializes in advertising, branding, digital strategy, media planning & buying, and more.","Salt Lake City, UT",UT,'50 - 249,Undisclosed,,,,,,
Neutron Interactive,https://themanifest.com/company/neutron-interactive,http://neutroninteractive.com/,"Neutron Interactive is a Salt Lake City, Utah-based marketing strategy company. The small team offers marketing strategy, advertising, and custom software development and was launched in 2005.","Salt Lake City, UT",UT,'10 - 49,Undisclosed,,,,,,
SmartClick Advertising,https://themanifest.com/company/smartclick-advertising,http://smartclickad.com/,"Small advertising company SmartClick Advertising, is located in Salt Lake City, Utah. Launched in 2009, the team provides advertising, email marketing, pay per click, and social media marketing.","Salt Lake City, UT",UT,'10 - 49,Undisclosed,,,,,,
